"registrationDate","serviceProviderID","mobileNumber","serviceProviderName","pinCode","address","deliveryService","serviceProviderIconURL","businessId","coordinates"
"2023-12-08 15:24:53.186",22,"9743081258","Balaji Rice Traders                               ","560076","#5,30/1A,2 Main, Kodichikkanahalli Main Road, Rotary Nagara,Oppo.BWSSB Water Tank                                                                                                                       ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+5W2                                          "
"2023-12-07 19:15:03.402",21,"9538630554","IYENGARS BAKERY                                   ","560068","25-23, Kodichikkanahalli Main Rd, Kodichikknahalli, Rotary Nagar, Bommanahalli                                                                                                                          ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+59C                                          "
"2023-12-07 19:10:08.592",20,"8217807039","Udupi Grand Veg                                   ","560068","29, 1st Main Rd, Kodichikknahalli, Lake City, Bommanahalli                                                                                                                                              ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+872                                          "
"2023-12-07 19:05:42.671",19,"9118412092","Shree Sai Super Hot Chips                         ","560068","Vijayasree Layout, kodichikkanahalli                                                                                                                                                                    ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+Q8J                                          "
"2023-12-07 13:22:03.841",18,"8495010001","Eat n Pack Grill Expert                           ","560076","Sir M. Visvesvaraya Rd, Vijaya Bank Layout, Bilekahalli                                                                                                                                                 ",True,"icons/sp/local-store.png                                                   ",NULL,"VJQ6+868                                          "
"2023-12-07 13:12:17.924",17,"9986953643","Mane Rotti                                        ","560076","1st Main Rd, Royal Residency Layout - BTM 4th stg, Royal Residency Layout, Hulimavu                                                                                                                     ",True,"icons/sp/local-store.png                                                   ",NULL,"VJM6+95C                                          "
"2023-12-06 14:24:53.718",16,"9008684788","Ayengars Ammas Pastries                           ","560068","54, Kodichikknahalli                                                                                                                                                                                    ",True,"icons/sp/local-store.png                                                   ",NULL,"VJX9+7PH                                          "
"2023-12-06 14:18:05.514",15,"9739634422","Gowdru Mane Mudde Oota                            ","560076","Kodichikkanahalli Main Road, Near Srushti Hospital,Bommanahalli                                                                                                                                         ",True,"icons/sp/local-store.png                                                   ",NULL,"7J4VVJXC+58                                       "
"2023-12-06 14:12:19.022",14,"9844141291","Shree Lakshmi Venkateshwra Chicken Center         ","560076","Kodichikkanahalli Main road, Near Srushti Hospital,Bommanahalli                                                                                                                                         ",True,"icons/sp/local-store.png                                                   ",NULL,"VJXC+33X                                          "
"2023-12-06 12:08:29.533",13,"9663605186","Cake House 24/7                                   ","560076","5th Cross Road , Kutapa Garden, Vijaya Bank Layout                                                                                                                                                      ",True,"icons/sp/local-store.png                                                   ",NULL,"VJW6+86V                                          "
"2023-12-06 12:01:29.137",12,"6363552135","SHUDHAKALPA                                       ","560076","Vijaya Bank Enclave Rd, Anugraha Layout                                                                                                                                                                 ",True,"icons/sp/local-store.png                                                   ",NULL,"VJW6+X9Q                                          "
"2023-12-05 19:19:59.283",10,"8217310403","BISMILLAH BIRIYANI KABAB CENTER                   ","560076","Kodichikkanahalli Main Rd, Near Srushti Hospital, Bommanahalli                                                                                                                                          ",True,"icons/sp/local-store.png                                                   ",NULL,NULL
"2023-12-05 17:34:24.383",9,"9845338619","HAJI MUTTON CHICKEN AND FISH STALLL               ","560076","Kodichikkanahalli Main Rd, Kaveri Nagar, Bommanahalli                                                                                                                                                   ",True,"icons/sp/local-store.png                                                   ",NULL,NULL
"2023-12-05 14:56:12.867",8,"9945341677","Sri Dev Samosa Stall                              ","560076","#8, kodichikkanahalli Bus Stand, Near Kaveri Water Tank                                                                                                                                                 ",True,"icons/sp/local-store.png                                                   ",NULL,NULL
"2023-12-05 14:21:47.357",7,"8050416628","S.S. BIRYANI ZONE                                 ","560068","Kodichikkanahalli,Main Rd,Kaveri Nagar,Bommanahalli                                                                                                                                                     ",True,"icons/sp/local-store.png                                                   ",NULL,NULL
"2023-12-05 10:39:52.745",6,"9986575697","Adda The Restaurant                               ","560076","35/4 Devarachilkkanahalli Main Rd,Hongasandra                                                                                                                                                           ",True,"icons/sp/local-store.png                                                   ",NULL,NULL
"2023-12-05 08:05:36.485",5,"8210434032","Sarvan Pan Shop                                   ","560076","Behind Bhagya Grand Hotel, Vijaya Bank Layout                                                                                                                                                           ",True,"icons/sp/local-store.png                                                   ",NULL,NULL
"2023-12-05 08:03:39.596",4,"9739160231","Tikka Kebaab                                      ","560076","Manjunath Complex, Kaveri Nagar, Deverachikanahalli Main road, Bommanahalli                                                                                                                             ",True,"icons/sp/local-store.png                                                   ",NULL,NULL
"2023-12-05 08:00:50.609",3,"9743763750","Udaya Stores                                      ","560076","Kodichikkanahalli                                                                                                                                                                                       ",True,"icons/sp/local-store.png                                                   ",NULL,NULL
"2023-12-05 00:29:11.064",2,"9900329935","Noor Al-Halaal Chicken                            ","560076","Kodichikkanahalli, Bangalore                                                                                                                                                                            ",True,"icons/sp/local-store.png                                                   ",NULL,NULL
"2023-12-05 00:12:50.801",1,"9972887466","Choice Home Needs                                 ","560076","3rd Main Lake city, Kodichikanahalli, Bangalore                                                                                                                                                         ",True,"icons/sp/local-store.png                                                   ",NULL,NULL
